r,g,b,path,material
16,16,16,"Grime/Decal_Scratch_01_558_-1","Decal_Scratch_01"
48,16,16,"PackArch_3F/P_Wall_01/Wall_01","Mat_Tile02"
80,16,16,"Grime/Decal_Scratch_01_575_1","Decal_Scratch_01"
112,16,16,"Grime/Decal_Scratch_01_559_1","Decal_Scratch_01"
144,16,16,"ExtraProps_3F/Ext_3F_L/Hose2","Prop_ExtMetal"
176,16,16,"PackArch_3F/P_Wall_01/Wall_01","Mat_Tile02"
208,16,16,"PackArch_3F/P_Floor_02/Object","Mat_Walllime01_C"
240,16,16,"PackArch_3F/P_Wall_01/Wall_01","Mat_Tile02"
16,48,16,"IsoRoom_L1_BarH1","Lit"
48,48,16,"Props_3F/prop_wheelchair/Torus.001","WC_Tire"
80,48,16,"PackArch_3F/P_Wall_01/Object001","Mat_Walllime01_C"
112,48,16,"Grime/Decal_Scratch_01_272_-1","Decal_Scratch_01"
144,48,16,"Grime/Decal_Water_01_139_1","Decal_Water_01"
176,48,16,"Grime/Decal_Scratch_01_125_1","Decal_Scratch_01"
208,48,16,"Grime/Decal_Scratch_01_544_-1","Decal_Scratch_01"
240,48,16,"Grime/Decal_Mold_01_265_1","Decal_Mold_01"
16,80,16,"PackProps_3F/Bedding_3F_3/SM_BedBedding_01","M_BedBedding"
48,80,16,"Grime/Decal_Scratch_01_354_-1","Decal_Scratch_01"
80,80,16,"Grime/Decal_Blood_01_21_1","Decal_Blood_01"
112,80,16,"Grime/Decal_Water_01_180_-1","Decal_Water_01"
144,80,16,"Decals_3F/Graf_Kokoniiru","Decal_Kokoniiru"
176,80,16,"Grime/Decal_Water_01_49_1","Decal_Water_01"
208,80,16,"PackArch_3F/P_Wall_01/Wall_01","Mat_Tile02"
240,80,16,"PackArch_3F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
16,112,16,"ExtraProps_3F/Clock_3F_L/Frame","Prop_ClockFrame"
48,112,16,"PackArch_3F/P_Wall_01/Object001","Mat_Walllime01_C"
80,112,16,"Grime/Decal_Mold_01_256_-1","Decal_Mold_01"
