r,g,b,path,material
16,16,16,"PackArch_1F/P_Wall_01/Wall_01","Mat_Tile02"
48,16,16,"PackArch_1F/P_Wall_02/Tile02","Mat_Tile02"
80,16,16,"PackArch_1F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
112,16,16,"ExtraProps_1F/Clock_1F_R/Face","Prop_ClockFace"
144,16,16,"IVStand_1/Base","IVMetal"
176,16,16,"Props_1F/prop_side_table/ST_Leg-0.22-0.18","Tbl_Metal"
208,16,16,"Props_1F/prop_iv_stand_v2/IV_Leg4","IV_Rust"
240,16,16,"IVStand_1/Hook","IVMetal"
16,48,16,"Props_1F/prop_fluorescent_normal/PackLamp/Box001","Mat_Lamp"
48,48,16,"PackArch_1F/P_Floor_01/Floor_01","Mat_Tile01"
80,48,16,"PackArch_1F/P_Floor_02/Object","Mat_Walllime01_C"
112,48,16,"PackArch_1F/P_Wall_01/Wall_01","Mat_Tile02"
144,48,16,"PackArch_1F/P_Floor_02/Object","Mat_Walllime01_C"
176,48,16,"Light_3/Tube","FluorTube"
208,48,16,"PackArch_1F/P_Wall_01/Wall_01","Mat_Tile02"
240,48,16,"Light_2/Cap.001","FluorTube"
16,80,16,"Props_1F/prop_window/Win_Frame_B","Win_Wood"
48,80,16,"PackArch_1F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
80,80,16,"PackArch_1F/P_Floor_02/Object","Mat_Walllime01_C"
112,80,16,"PackArch_1F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
144,80,16,"PackArch_1F/P_Wall_01/Object001","Mat_Walllime01_C"
176,80,16,"Props_1F/prop_wall_clock/Clock_Back_Mount","ClockFrame"
208,80,16,"Grime/Decal_Scratch_01_108_-1","Decal_Scratch_01"
240,80,16,"Grime/Decal_Mold_02_56_-1","Decal_Mold_02"
16,112,16,"PackArch_1F/P_Wall_01/Object001","Mat_Walllime01_C"
48,112,16,"Props_1F/prop_fluorescent_normal/FL_Frame","FL_Metal"
80,112,16,"PackArch_1F/P_Wall_01/Wall_01","Mat_Tile02"
112,112,16,"PackArch_1F/P_Wall_01/Wall_01","Mat_Tile02"
144,112,16,"PackArch_1F/P_Wall_02/Wall_02","Mat_Walllime01_C"
176,112,16,"Props_1F/prop_fluorescent_normal/PackLamp/Box001","Mat_Lamp"
208,112,16,"Grime/Decal_Water_01_10_-1","Decal_Water_01"
240,112,16,"PackArch_1F/P_Floor_02/Floor_02","Mat_Tile01"
16,144,16,"Props_1F/prop_mirror/Mir_Rust0.3-0.4","MirRust0.3-0.4"
48,144,16,"Props_1F/prop_side_table/ST_Top","Tbl_Metal"
80,144,16,"Props_1F/prop_window/Win_Frame_T","Win_Wood"
112,144,16,"ExtraProps_1F/NurseSideShelf","Prop_Wood"
144,144,16,"PackArch_1F/P_Wall_01/Wall_01","Mat_Tile02"
176,144,16,"HospitalBed_3/SideRail","BedMetal"
208,144,16,"Decals_1F/WaterDrip_1F_a","Decal_Water_01"
240,144,16,"Grime/Decal_Water_01_101_1","Decal_Water_01"
16,176,16,"Grime/Decal_Scratch_01_82_-1","Decal_Scratch_01"
48,176,16,"IVStand_1/Wheel.003","IVMetal"
80,176,16,"PackArch_1F/P_Wall_02/Tile02","Mat_Tile02"
112,176,16,"PackProps_1F/Bedding_1F_0/SM_BedBedding_01","M_BedBedding"
144,176,16,"PackArch_1F/P_Floor_01/Floor_01","Mat_Tile01"
176,176,16,"PackArch_1F/P_Floor_02/Floor_02","Mat_Tile01"
208,176,16,"Props_1F/prop_window/Win_Frame_R","Win_Wood"
240,176,16,"ExtraProps_1F/NurseCounter_1F/Chart_0","Prop_PaperFlat"
16,208,16,"PackArch_1F/P_Floor_02/Object","Mat_Walllime01_C"
